Year,League,Franchise,Rank,Gamesplayed,Gamesplayedathome,Wins,Losses,DivisionWinner,WildCardWinner,LeagueChampion,WorldSeriesWinner,RunsScored,Atbats,Hitsbybatters,Doubles,Triples,Homerunsbybatters,Walksbybatters,Strikeoutsbybatters,Stolenbases,Caughtstealing,Battershitbypitch,Sacrificeflies,Opponentsrunsscored,Earnedrunsallowed,Earnedrunaverage,Completegames,Shutouts,Saves,Outspitched,Hitsallowed,Homerunsallowed,Walksallowed,Strikeoutsbypitchers,Errors,Doubleplays,Fieldingpercentage,Homeattendancetotal,Battersparkfactor,Pitchersparkfactor
1998,NL,STL,3,163,82,83,79,0,0,0,0,810,5593,1444,292,30,223,676,1179,133,41,42,34,782,703,4.31,6,10,44,4409,1513,151,558,972,142,160,0.978,3195691,100,100
1999,AL,ANA,4,162,81,70,92,0,0,0,0,711,5494,1404,248,22,158,511,1022,71,45,43,42,826,762,4.79,4,7,37,4294,1472,177,624,877,106,156,0.983,2253123,99,100
1999,AL,BAL,4,162,81,78,84,0,0,0,0,851,5637,1572,299,21,203,615,890,107,46,61,55,815,760,4.77,17,11,33,4305,1468,198,647,982,89,191,0.986,3433150,96,96
1999,AL,BOS,2,162,81,94,68,0,1,0,0,836,5579,1551,334,42,176,597,928,67,39,55,56,718,638,4,6,12,50,4310,1396,160,469,1131,127,132,0.979,2446162,104,103
1999,AL,CHW,2,162,81,75,86,0,0,0,0,777,5644,1563,298,37,162,499,810,110,50,34,45,870,786,4.92,6,3,39,4315,1608,210,596,968,136,149,0.977,1338851,101,101
1999,AL,CLE,1,162,81,97,65,1,0,0,0,1009,5634,1629,309,32,209,743,1099,147,50,55,67,860,788,4.89,3,6,46,4351,1503,197,634,1120,106,154,0.983,3468456,104,103
1999,AL,DET,3,161,81,69,92,0,0,0,0,747,5481,1433,289,34,212,458,1049,108,70,82,39,882,817,5.17,4,6,33,4263,1528,209,583,976,106,156,0.982,2026441,99,101
1999,AL,KCR,4,161,80,64,97,0,0,0,0,856,5624,1584,294,52,151,535,932,127,39,64,56,921,844,5.35,11,3,29,4262,1607,202,643,831,125,188,0.98,1506068,102,103
1999,AL,MIN,5,161,81,63,97,0,0,0,0,686,5495,1450,285,30,105,500,978,118,60,49,56,845,791,5,13,8,34,4270,1591,208,487,927,92,150,0.985,1202829,103,104
1999,AL,NYY,1,162,81,98,64,1,0,1,1,900,5568,1568,302,36,193,718,978,104,57,55,53,731,661,4.13,6,10,50,4319,1402,158,581,1111,111,132,0.982,3292736,98,97
1999,AL,OAK,2,162,81,87,75,0,0,0,0,893,5519,1430,287,20,235,770,1129,70,37,71,41,846,750,4.69,6,5,48,4315,1537,160,569,967,122,166,0.98,1434610,94,94
1999,AL,SEA,3,162,81,79,83,0,0,0,0,859,5572,1499,263,21,244,610,1095,130,45,42,48,905,834,5.24,7,6,40,4301,1613,191,684,980,113,182,0.981,2916346,102,103
1999,AL,TBD,5,162,81,69,93,0,0,0,0,772,5586,1531,272,29,145,544,1042,73,49,64,48,913,805,5.06,6,5,45,4299,1606,172,695,1055,135,198,0.978,1562827,100,102
1999,AL,TEX,1,162,81,95,67,1,0,0,0,945,5651,1653,304,29,230,611,937,111,54,29,62,859,809,5.07,6,9,47,4309,1626,186,509,979,119,169,0.981,2771469,105,105
1999,AL,TOR,3,162,81,84,78,0,0,0,0,883,5642,1580,337,14,212,578,1077,119,48,76,45,862,787,4.92,14,9,39,4317,1582,191,575,1009,106,165,0.983,2163464,101,101
1999,NL,ARI,1,162,81,100,62,1,0,0,0,908,5658,1566,289,46,216,588,1045,137,39,48,60,676,615,3.77,16,9,42,4402,1387,176,543,1198,104,132,0.983,3019654,101,101
1999,NL,ATL,1,162,81,103,59,1,0,1,0,840,5569,1481,309,23,197,608,962,148,66,53,47,661,593,3.63,9,9,45,4413,1398,142,507,1197,111,127,0.982,3284897,100,98
1999,NL,CHC,6,162,81,67,95,0,0,0,0,747,5482,1411,255,35,189,571,1170,60,44,39,44,920,837,5.27,11,6,32,4292,1619,221,529,980,139,135,0.977,2813854,97,98
